P,N,internal,elapsed,system,exp,weak
1,100000000,2.59940391,2.91,0.12,8,False
1,100000000,2.57052611,2.88,0.13,8,False
1,100000000,2.57056889,2.83,0.12,8,False
4,100000000,0.64465368,0.95,0.57,8,False
4,100000000,0.64494418,0.94,0.56,8,False
4,100000000,0.64359914,0.95,0.55,8,False
8,100000000,0.32252405,0.66,1.28,8,False
8,100000000,0.32638942,0.67,1.26,8,False
8,100000000,0.32904968,0.67,1.28,8,False
12,99999996,0.21836844,0.61,2.26,8,False
12,99999996,0.22837954,0.61,2.09,8,False
12,99999996,0.23179509,0.62,2.18,8,False
16,100000000,0.16795449,0.6,3.23,8,False
16,100000000,0.1684775,0.61,3.16,8,False
16,100000000,0.16671925,0.61,3.23,8,False
20,100000000,0.13346363,0.63,4.59,8,False
20,100000000,0.14198337,0.64,4.6,8,False
20,100000000,0.13647966,0.64,4.5,8,False
24,99999984,0.11571762,0.68,5.82,8,False
24,99999984,0.12849364,0.69,6.02,8,False
24,99999984,0.12105502,0.69,6.02,8,False
28,99999984,0.10062329,0.79,8.71,8,False
28,99999984,0.11776782,0.82,8.59,8,False
28,99999984,0.10831731,0.8,8.77,8,False
32,100000000,0.10599884,0.85,10.65,8,False
32,100000000,0.12139267,0.91,10.61,8,False
32,100000000,0.11167429,0.87,10.86,8,False
36,99999972,0.0826686,0.96,13.03,8,False
36,99999972,0.11112113,0.94,12.73,8,False
36,99999972,0.1017565,0.95,12.64,8,False
40,100000000,0.10911337,1.05,15.28,8,False
40,100000000,0.14496114,1.1,15.1,8,False
40,100000000,0.12152453,1.08,15.29,8,False
44,99999988,0.0903237,1.13,17.81,8,False
44,99999988,0.11184539,1.21,19.66,8,False
44,99999988,0.14110116,1.17,16.7,8,False
48,99999984,0.13716484,1.31,20.87,8,False
48,99999984,0.10098305,1.27,20.6,8,False
48,99999984,0.13214812,1.4,23.04,8,False
1,1000000000,25.69557513,25.96,0.13,9,False
1,1000000000,25.70608026,25.95,0.15,9,False
1,1000000000,25.78248149,26.04,0.12,9,False
4,1000000000,6.48334801,6.79,0.57,9,False
4,1000000000,6.51217001,6.82,0.54,9,False
4,1000000000,6.45526441,6.76,0.57,9,False
8,1000000000,3.22268151,3.57,1.32,9,False
8,1000000000,3.26805006,3.63,1.24,9,False
8,1000000000,3.24211851,3.59,1.27,9,False
12,999999996,2.1839897,2.59,2.22,9,False
12,999999996,2.23243722,2.63,2.19,9,False
12,999999996,2.20157362,2.6,2.11,9,False
16,1000000000,1.64140806,2.08,3.26,9,False
16,1000000000,1.66330218,2.12,3.11,9,False
16,1000000000,1.7452973,2.2,3.17,9,False
20,1000000000,1.32601225,1.83,4.59,9,False
