#header line: GPU processors,avg,error_bar,run1,run2,run3,... runN
1,25.728,0.043,25.696,25.706,25.782
4,25.823,0.104,25.758,25.752,25.959
8,25.923,0.077,25.921,25.848,26.002
12,25.996,0.031,25.974,25.979,26.036
16,26.512,0.304,26.236,26.454,26.844
20,26.672,0.089,26.583,26.761,26.673
24,27.483,0.582,27.655,27.979,26.815
28,29.286,0.465,29.853,29.083,28.922
32,29.511,0.221,29.451,29.761,29.319
36,30.089,0.098,29.993,30.189,30.083
40,30.687,0.859,30.376,31.702,29.984
44,31.471,0.918,30.860,30.858,32.694
48,31.325,0.532,31.075,30.918,31.981
